N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
67,한국금융지주,"90,200","5,200",-5.45%,"5,000","50,265","55,726",34.51,"469,912",4.03,16.27,
68,한미사이언스,"72,600","1,700",-2.29%,500,"48,863","67,305",1.51,"227,764",176.64,3.47,
69,LG이노텍,"201,000","9,000",-4.29%,"5,000","47,571","23,667",30.59,"190,890",11.69,10.20,
70,KODEX 200,"40,540",825,-1.99%,0,"47,553","117,300",4.32,"5,824,243",N/A,N/A,
71,이마트,"170,500","7,000",-3.94%,"5,000","47,528","27,876",34.98,"261,624",11.76,4.05,
72,오리온,"115,500","2,000",-1.70%,500,"45,664","39,536",38.80,"79,379",17.16,15.50,
73,맥쿼리인프라,"12,250",0,0.00%,0,"45,594","372,192",15.24,"1,192,290",N/A,N/A,
74,아모레G,"54,800","2,200",-3.86%,500,"45,187","82,458",17.35,"168,085",107.45,0.31,
75,삼성엔지니어링,"21,450","1,600",-6.94%,"5,000","42,042","196,000",32.85,"2,776,470",14.46,17.32,
76,유한양행,"59,200","1,700",-2.79%,"1,000","41,424","69,973",17.78,"245,980",43.18,11.06,
77,DB손해보험,"58,400","2,200",-3.63%,500,"41,347","70,800",42.89,"184,490",6.67,9.08,
78,팬오션,"7,730",370,-4.57%,"1,000","41,322","534,570",11.21,"10,102,181",23.71,3.25,
79,두산밥캣,"40,700","2,350",-5.46%,500,"40,801","100,249",25.83,"397,580",12.39,6.15,
80,한진칼,"60,800","2,600",-4.10%,"2,500","40,577","66,739",14.77,"124,825",-41.50,-19.55,
81,삼성증권,"45,000","1,550",-3.33%,"5,000","40,185","89,300",29.11,"611,371",5.14,9.89,
82,삼성카드,"33,900",50,-0.15%,"5,000","39,276","115,859",8.30,"243,525",9.24,5.69,
83,쌍용C&E,"7,770",180,-2.26%,100,"39,150","503,860",3.60,"1,041,695",25.06,7.92,
84,CJ대한통운,"167,000","1,500",-0.89%,"5,000","38,097","22,812",22.71,"30,567",31.73,3.89,
85,GS,"40,100","1,350",-3.26%,"5,000","37,259","92,915",19.33,"387,320",5.88,-2.82,
86,삼성중공업,"5,770",270,-4.47%,"1,000","36,351","630,000",13.72,"5,043,653",-2.37,-33.06,
87,한미약품,"300,000","10,500",-3.38%,"2,500","36,235","12,078",12.73,"42,903",154.40,1.65,
88,현대차2우B,"99,000",100,+0.10%,"5,000","36,121","36,485",61.23,"123,092",11.98,N/A,
89,롯데지주,"34,350","1,650",-4.58%,200,"36,036","104,909",8.36,"224,847",49.07,-3.03,
90,녹십자,"306,000","5,500",-1.77%,"5,000","35,761","11,687",20.67,"61,958",35.71,7.48,
91,신풍제약,"67,300","1,200",-1.75%,500,"35,659","52,985",8.69,"1,677,813",782.56,1.72,
92,일진머티리얼즈,"76,700",600,-0.78%,500,"35,367","46,111",9.71,"318,802",87.96,7.23,
93,한화시스템,"18,500",950,-4.88%,"5,000","34,950","188,919",3.19,"3,506,825",21.17,9.35,
94,NH투자증권,"12,350",500,-3.89%,"5,000","34,754","281,409",18.05,"1,267,278",4.62,10.32,
95,메리츠증권,"4,930",180,-3.52%,"1,000","33,609","681,731",14.01,"1,999,319",5.26,13.08,
96,SK케미칼,"286,000","2,000",-0.69%,"5,000","33,609","11,751",17.03,"364,645",36.34,30.49,
97,GS건설,"39,200","1,750",-4.27%,"5,000","33,548","85,581",25.94,"579,537",9.43,7.68,
98,GS리테일,"31,900","1,200",-3.63%,"1,000","33,405","104,718",11.25,"748,327",16.39,7.50,
99,호텔신라,"84,600","3,900",-4.41%,"5,000","33,204","39,248",18.15,"631,471",-16.01,-36.74,
100,한솔케미칼,"284,500","1,500",-0.52%,"5,000","32,249","11,335",41.46,"81,354",22.65,24.50,
